market,link,price,name,date,datetime,stock
hareruya2,https://www.hareruya2.com/product/26883,50,たんぱんこぞう(D),2023-01-24,2023-01-24 02:33:50,89
hareruya2,https://www.hareruya2.com/product/26833,50,たんぱんこぞう(D),2023-01-24,2023-01-24 02:33:50,80
cardrush,https://www.cardrush-pokemon.jp/product/39416,30,たんぱんこぞう021,2023-01-24,2023-01-24 02:33:49,86
cardrush,https://www.cardrush-pokemon.jp/product/39366,30,たんぱんこぞう021,2023-01-24,2023-01-24 02:33:49,65
torecolo,/shop/g/g021-023-SVAW-B/,33,【ポケカ】ＳＳ◇たん,2023-01-24,2023-01-24 02:33:47,3
torecolo,/shop/g/g021-023-SVAM-B/,33,【ポケカ】ＳＳ◇たん,2023-01-24,2023-01-24 02:33:47,3
hareruya2,https://www.hareruya2.com/product/26833,50,たんぱんこぞう(D),2023-01-23,2023-01-23 02:35:40,80
hareruya2,https://www.hareruya2.com/product/26883,50,たんぱんこぞう(D),2023-01-23,2023-01-23 02:35:40,89
cardrush,https://www.cardrush-pokemon.jp/product/39416,30,たんぱんこぞう021,2023-01-23,2023-01-23 02:35:38,86
cardrush,https://www.cardrush-pokemon.jp/product/39366,30,たんぱんこぞう021,2023-01-23,2023-01-23 02:35:38,66
torecolo,/shop/g/g021-023-SVAW-B/,33,【ポケカ】ＳＳ◇たん,2023-01-23,2023-01-23 02:35:36,3
torecolo,/shop/g/g021-023-SVAM-B/,33,【ポケカ】ＳＳ◇たん,2023-01-23,2023-01-23 02:35:36,3
hareruya2,https://www.hareruya2.com/product/26883,50,たんぱんこぞう(D),2023-01-22,2023-01-22 02:34:07,89
hareruya2,https://www.hareruya2.com/product/26833,50,たんぱんこぞう(D),2023-01-22,2023-01-22 02:34:07,80
cardrush,https://www.cardrush-pokemon.jp/product/39366,30,たんぱんこぞう021,2023-01-22,2023-01-22 02:34:06,70
cardrush,https://www.cardrush-pokemon.jp/product/39416,30,たんぱんこぞう021,2023-01-22,2023-01-22 02:34:06,90
torecolo,/shop/g/g021-023-SVAM-B/,33,【ポケカ】ＳＳ◇たん,2023-01-22,2023-01-22 02:34:04,3
torecolo,/shop/g/g021-023-SVAW-B/,33,【ポケカ】ＳＳ◇たん,2023-01-22,2023-01-22 02:34:04,3
hareruya2,https://www.hareruya2.com/product/26833,50,たんぱんこぞう(D),2023-01-21,2023-01-21 02:51:15,80
hareruya2,https://www.hareruya2.com/product/26883,50,たんぱんこぞう(D),2023-01-21,2023-01-21 02:51:15,89
cardrush,https://www.cardrush-pokemon.jp/product/39366,30,たんぱんこぞう021,2023-01-21,2023-01-21 02:51:13,81
cardrush,https://www.cardrush-pokemon.jp/product/39416,30,たんぱんこぞう021,2023-01-21,2023-01-21 02:51:13,90
